cod_departamento,departamento,cod_candidato,candidato,partido,votos
17,CHOCO,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,612
17,CHOCO,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,325
17,CHOCO,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,310
17,CHOCO,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",240
17,CHOCO,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,188
17,CHOCO,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,107
17,CHOCO,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
17,CHOCO,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
19,HUILA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,297615
19,HUILA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,176630
19,HUILA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,35844
19,HUILA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,14647
19,HUILA,996,No Marcados,Sin partido / Voto especial,10001
19,HUILA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,6597
19,HUILA,997,Votos Nulos,Sin partido / Voto especial,5940
19,HUILA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,3345
19,HUILA,998,Votos en Blanco,Sin partido / Voto especial,1703
19,HUILA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1014
19,HUILA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,830
19,HUILA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",632
19,HUILA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,461
19,HUILA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,109
19,HUILA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
19,HUILA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
21,MAGDALENA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,262892
21,MAGDALENA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,197494
21,MAGDALENA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,18437
21,MAGDALENA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,7911
21,MAGDALENA,996,No Marcados,Sin partido / Voto especial,7543
21,MAGDALENA,998,Votos en Blanco,Sin partido / Voto especial,3777
21,MAGDALENA,997,Votos Nulos,Sin partido / Voto especial,3705
21,MAGDALENA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,2673
21,MAGDALENA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,1219
21,MAGDALENA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,947
21,MAGDALENA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",428
21,MAGDALENA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,411
21,MAGDALENA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,239
21,MAGDALENA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,104
21,MAGDALENA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
21,MAGDALENA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
23,NARIÑO,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,475268
23,NARIÑO,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,148258
23,NARIÑO,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,31406
23,NARIÑO,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,13048
23,NARIÑO,996,No Marcados,Sin partido / Voto especial,12926
23,NARIÑO,997,Votos Nulos,Sin partido / Voto especial,8989
23,NARIÑO,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,3928
23,NARIÑO,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3534
23,NARIÑO,998,Votos en Blanco,Sin partido / Voto especial,2869
23,NARIÑO,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1354
23,NARIÑO,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,861
23,NARIÑO,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",619
23,NARIÑO,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,361
23,NARIÑO,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,167
23,NARIÑO,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
23,NARIÑO,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
24,RISARALDA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,226321
24,RISARALDA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,182255
24,RISARALDA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,44566
24,RISARALDA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,26520
24,RISARALDA,996,No Marcados,Sin partido / Voto especial,10475
24,RISARALDA,997,Votos Nulos,Sin partido / Voto especial,8239
24,RISARALDA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,6927
24,RISARALDA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,5030
24,RISARALDA,998,Votos en Blanco,Sin partido / Voto especial,2114
24,RISARALDA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1374
24,RISARALDA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,830
24,RISARALDA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",515
24,RISARALDA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,352
24,RISARALDA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,121
24,RISARALDA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
